volatile acidity,chlorides,pH,sulphates,alcohol,quality
0.49,0.062,3.39,0.64,9.6,5
1.02,0.045,3.75,0.48,10.5,4
0.775,0.102,3.45,0.56,10.7,5
0.9,0.079,3.39,0.56,9.8,5
0.545,0.08,3.3,0.59,9.0,6
0.61,0.084,3.4,0.61,10.2,6
0.545,0.08,3.3,0.59,9.0,6
0.575,0.077,3.29,0.51,9.2,5
0.49,0.07,3.33,0.48,9.4,5
0.575,0.077,3.29,0.51,9.2,5
0.41,0.467,3.08,1.31,9.3,5
0.63,0.088,3.46,0.79,9.3,5
0.56,0.104,3.19,0.93,9.5,5
0.62,0.084,3.15,0.66,9.8,5
0.31,0.08,3.32,0.67,9.7,6
0.56,0.104,3.19,0.93,9.5,5
0.4,0.09,3.07,0.63,10.5,6
0.54,0.077,3.39,0.61,10.0,6
1.07,0.178,3.3,0.57,9.0,5
0.55,0.119,3.21,0.6,10.9,6
0.695,0.075,3.49,0.52,9.2,5
0.5,0.082,3.39,0.48,9.5,5
1.33,0.081,3.53,0.49,10.9,5
1.33,0.082,3.54,0.48,10.9,5
0.59,0.065,3.42,0.92,10.5,7
0.745,0.118,3.24,0.66,9.4,5
0.5,0.049,3.63,0.63,13.0,5
1.04,0.084,3.22,0.55,9.9,6
0.745,0.09,3.19,0.82,9.6,5
0.415,0.081,3.48,0.64,9.2,5
0.745,0.09,3.19,0.82,9.6,5
0.34,0.05,3.68,0.79,14.0,6
0.39,0.066,3.34,0.58,9.4,5
0.34,0.05,3.68,0.79,14.0,6
0.67,0.117,3.17,0.62,9.4,5
0.68,0.087,3.54,0.52,10.0,5
0.49,0.074,3.42,0.58,10.2,6
0.33,0.077,3.33,0.53,10.3,6
0.52,0.61,2.74,2.0,9.4,4
0.6,0.095,3.35,0.54,10.1,5
0.6,0.095,3.35,0.54,10.1,5
0.43,0.071,3.42,0.71,10.5,5
0.43,0.07,3.42,0.72,10.5,5
0.43,0.071,3.42,0.71,10.5,5
0.68,0.073,3.48,0.5,9.3,5
0.6,0.079,3.59,0.57,9.3,6
0.95,0.09,3.2,0.56,9.6,5
0.68,0.072,3.17,1.08,9.2,4
0.53,0.076,3.33,0.56,10.0,6
0.6,0.07,3.37,0.49,9.4,5
0.59,0.07,3.37,0.49,9.4,5
0.63,0.1,3.19,0.62,9.5,5
0.64,0.085,3.34,0.52,10.2,5
0.55,0.072,3.37,0.48,9.0,4
0.63,0.089,3.47,0.55,10.4,6
0.885,0.058,3.36,0.33,9.1,4
0.42,0.073,3.29,0.61,9.2,6
0.62,0.068,3.42,0.57,11.5,6
0.5,0.085,3.35,0.78,9.5,5
0.38,0.08,3.33,0.47,9.5,5
0.52,0.087,3.58,0.61,10.5,6
0.805,0.068,3.48,0.56,9.6,5
0.61,0.067,3.19,0.59,9.5,5
0.61,0.067,3.19,0.59,9.5,5
0.61,0.27,3.12,1.02,9.3,5
0.73,0.076,3.44,0.52,9.3,5
0.61,0.077,3.54,0.58,9.3,5
0.62,0.079,3.52,0.58,9.3,6
0.31,0.111,3.26,0.53,9.7,5
0.39,0.082,3.34,0.55,9.2,5
0.5,0.084,3.2,0.55,9.5,5
0.5,0.077,3.23,0.62,9.4,5
0.37,0.074,3.57,0.62,9.8,6
0.55,0.071,3.28,0.55,9.7,5
0.55,0.071,3.28,0.55,9.7,5
0.58,0.074,3.46,0.59,10.2,5
0.3,0.067,3.11,0.97,10.1,6
1.09,0.061,3.51,0.43,11.4,4
0.32,0.056,3.22,0.82,10.3,7
0.43,0.089,3.34,0.56,9.2,6
0.3,0.095,3.2,0.77,10.8,7
0.3,0.095,3.2,0.77,10.8,7
0.44,0.1,3.22,0.67,9.4,5
0.53,0.039,3.3,0.86,12.4,6
0.725,0.083,3.35,0.56,10.0,6
0.57,0.06,3.3,0.43,10.1,5
0.735,0.092,3.24,0.71,9.8,6
0.49,0.06,3.34,0.76,10.5,5
0.625,0.101,3.14,0.57,11.0,5
0.725,0.072,3.36,0.55,9.1,5
0.49,0.076,3.39,0.54,9.7,5
0.34,0.082,3.34,0.59,9.4,6
0.53,0.101,3.15,0.57,9.4,5
0.61,0.057,3.42,0.6,9.5,5
0.645,0.083,3.28,0.6,10.0,6
0.43,0.073,3.37,0.58,10.5,6
0.59,0.337,3.04,1.61,9.5,6
0.48,0.054,3.54,0.62,12.2,7
0.38,0.078,3.37,0.52,9.9,6
0.37,0.09,3.34,0.7,9.6,6
1.0,0.065,3.32,0.55,9.0,6
0.63,0.097,3.37,0.58,9.0,6
0.635,0.263,3.0,1.09,9.3,5
0.38,0.093,3.14,0.71,10.9,6
0.58,0.102,3.08,0.49,9.8,6
0.21,0.075,3.07,0.84,9.2,7
0.21,0.075,3.07,0.84,9.2,7
0.66,0.084,3.61,0.96,9.9,6
0.68,0.075,3.38,0.52,9.5,5
0.66,0.084,3.61,0.96,9.9,6
0.32,0.063,3.22,0.78,10.0,6
0.6,0.074,3.47,0.7,9.9,6
0.35,0.09,3.17,0.53,10.5,5
0.775,0.092,3.23,0.59,9.5,5
0.57,0.073,3.26,0.57,9.3,5
0.34,0.075,3.22,0.62,9.2,5
0.695,0.075,3.49,0.67,9.2,5
0.41,0.611,3.06,1.26,9.4,5
0.31,0.085,3.36,0.8,10.5,7
0.33,0.077,3.29,0.65,9.3,5
0.975,0.087,3.35,0.6,9.4,4
0.52,0.07,3.34,0.57,10.0,5
0.37,0.077,3.28,0.67,9.3,5
0.56,0.064,3.08,0.87,10.9,5
0.87,0.096,3.6,0.72,9.8,4
0.35,0.078,3.35,0.86,12.8,8
0.54,0.077,3.69,0.91,9.4,6
0.18,0.104,3.28,0.97,10.1,6
0.545,0.087,3.36,0.67,10.7,6
0.545,0.087,3.36,0.67,10.7,6
0.54,0.077,3.69,0.91,9.4,6
0.18,0.104,3.28,0.97,10.1,6
0.32,0.073,3.23,0.82,12.6,8
0.4,0.087,3.38,0.77,10.5,7
0.26,0.071,3.12,0.82,9.3,6
0.27,0.358,3.25,1.08,9.9,7
0.4,0.087,3.38,0.77,10.5,7
0.59,0.102,3.31,0.71,9.8,5
0.59,0.102,3.31,0.71,9.8,5
0.45,0.073,3.1,0.76,10.3,6
0.4,0.092,3.37,0.7,10.3,6
0.52,0.091,3.34,0.86,10.6,7
0.42,0.105,3.2,0.95,9.2,5
0.52,0.091,3.34,0.86,10.6,7
0.55,0.091,3.22,0.64,10.3,6
0.36,0.098,3.41,0.6,10.1,6
0.34,0.094,3.05,0.81,9.5,6
0.5,0.073,3.05,0.64,9.5,5
0.83,0.086,3.16,0.52,9.9,5
0.63,0.083,3.67,0.73,9.6,5
0.65,0.094,3.67,0.8,9.7,5
0.53,0.086,3.38,0.59,10.7,6
0.18,0.068,3.22,0.64,10.1,6
0.705,0.092,3.51,0.72,10.0,5
0.65,0.112,3.2,0.52,9.2,5
0.62,0.082,3.36,0.52,9.4,5
0.41,0.213,3.19,0.62,9.5,6
0.43,0.214,3.19,0.63,9.5,6
0.53,0.072,3.27,0.54,9.4,6
0.46,0.093,3.32,0.63,9.5,6
0.47,0.076,3.3,0.53,9.4,5
0.36,0.087,3.39,0.68,11.0,5
0.66,0.083,3.37,0.71,11.5,7
0.77,0.082,3.3,0.64,10.4,6
0.61,0.09,3.24,0.62,9.7,5
0.49,0.071,3.16,0.69,9.2,6
0.49,0.071,3.16,0.69,9.2,6
0.53,0.121,3.05,0.74,11.5,7
0.44,0.107,3.28,0.83,11.5,5
0.27,0.082,3.16,0.67,9.7,6
0.56,0.105,3.13,0.52,11.0,5
0.65,0.078,3.34,0.74,11.7,7
0.695,0.128,3.17,0.84,12.2,7
0.43,0.052,3.35,0.7,12.5,6
0.43,0.08,3.31,0.64,10.3,5
0.28,0.082,3.11,1.36,9.8,7
0.39,0.118,3.3,0.75,9.8,6
0.39,0.118,3.3,0.75,9.8,6
0.57,0.082,3.12,0.78,10.7,6
0.49,0.093,3.02,0.93,12.0,6
0.56,0.089,3.11,0.92,10.0,6
0.795,0.096,3.35,0.83,9.4,6
0.665,0.09,3.27,0.73,9.3,5
0.53,0.12,3.18,0.77,13.0,5
0.21,0.066,3.25,0.59,11.9,6
0.75,0.078,3.55,0.61,12.8,6
0.41,0.08,3.26,0.88,11.0,5
0.42,0.116,3.24,0.75,11.7,7
0.43,0.109,3.15,0.85,10.4,7
0.38,0.088,3.17,0.68,9.8,6
0.7,0.099,3.19,0.7,9.4,5
0.45,0.086,3.37,0.91,9.9,6
0.58,0.072,3.05,0.56,10.0,5
0.46,0.071,2.99,0.87,10.2,5
0.615,0.083,3.07,0.73,10.0,7
0.615,0.083,3.07,0.73,10.0,7
0.575,0.076,3.16,0.69,9.0,5
0.27,0.074,3.2,1.13,12.0,7
0.24,0.056,3.32,0.87,8.7,6
0.28,0.067,3.32,1.04,10.6,6
0.45,0.078,3.26,1.11,11.0,6
0.27,0.074,3.2,1.13,12.0,7
0.625,0.088,3.11,0.99,13.3,6
0.26,0.08,3.21,0.8,9.4,6
0.51,0.087,3.42,0.74,9.2,5
0.46,0.088,3.43,0.74,9.2,6
0.85,0.045,3.56,0.82,12.9,8
0.415,0.085,3.06,0.8,10.0,6
0.37,0.082,3.18,0.51,9.5,5
0.37,0.066,3.22,0.6,13.0,7
0.735,0.122,3.47,0.53,9.9,5
0.59,0.087,3.18,0.65,11.0,6
0.765,0.064,3.1,0.55,9.4,5
0.735,0.122,3.47,0.53,9.9,5
0.48,0.085,3.1,0.61,10.5,6
0.6,0.085,3.15,0.63,10.5,6
0.69,0.075,3.26,0.61,9.1,5
0.44,0.063,3.24,0.65,10.8,6
0.39,0.093,3.18,0.63,10.8,7
0.46,0.07,3.05,0.57,9.6,4
0.43,0.08,3.38,0.62,9.5,6
0.735,0.1,3.27,0.64,9.3,5
0.4,0.097,3.27,0.82,11.7,7
0.52,0.087,3.26,0.61,9.5,5
0.725,0.117,3.32,1.07,9.3,5
0.48,0.111,3.26,0.66,11.7,6
0.58,0.091,3.44,0.48,10.5,5
0.38,0.121,3.24,0.76,10.4,6
0.77,0.066,3.62,0.68,9.9,5
0.84,0.059,3.52,0.56,12.3,7
0.96,0.047,3.36,0.44,10.9,5
0.24,0.066,3.15,0.9,11.0,7
0.84,0.059,3.52,0.56,12.3,7
0.67,0.045,3.49,0.49,11.4,6
0.78,0.077,3.26,0.56,10.6,6
0.52,0.07,3.24,0.6,9.3,5
0.84,0.088,3.1,0.6,10.4,6
0.24,0.066,3.15,0.9,11.0,7
0.55,0.074,3.25,0.56,9.2,5
0.39,0.091,3.16,0.49,9.5,5
0.41,0.076,3.15,0.89,9.9,6
0.39,0.091,3.16,0.49,9.5,5
0.67,0.06,3.26,0.56,10.2,6
0.45,0.066,3.17,0.66,11.2,6
0.62,0.062,3.08,0.6,9.3,5
0.31,0.072,2.88,0.82,9.8,8
0.685,0.1,2.95,0.68,11.2,7
0.57,0.054,3.57,0.84,12.5,7
0.38,0.081,3.1,0.73,10.5,5
0.48,0.127,3.22,0.72,11.2,5
0.53,0.1,3.2,0.56,10.2,6
0.39,0.095,3.1,0.61,10.8,6
0.39,0.095,3.1,0.61,10.8,6
0.56,0.084,3.44,0.63,10.0,6
0.33,0.084,3.26,0.74,11.2,7
0.23,0.063,3.5,0.63,11.1,5
0.62,0.086,3.22,0.69,13.4,8
0.59,0.095,3.37,0.58,10.3,5
0.63,0.097,3.28,0.58,9.6,5
0.58,0.074,3.25,0.57,9.0,3
0.43,0.083,3.35,0.61,11.3,6
0.615,0.087,3.26,0.61,9.3,5
0.315,0.084,2.98,0.7,9.2,6
0.5,0.069,3.16,0.72,11.5,6
0.46,0.065,3.32,0.79,14.0,6
0.36,0.09,3.17,0.62,9.2,6
0.82,0.07,3.2,0.58,9.8,5
0.32,0.093,3.05,0.61,10.6,5
0.54,0.081,3.2,0.71,11.4,6
0.37,0.083,3.15,0.82,10.4,6
0.68,0.087,3.14,0.6,10.2,5
0.27,0.091,3.28,0.7,9.7,5
0.24,0.075,3.18,1.06,11.0,6
0.685,0.077,3.19,0.7,10.1,6
0.28,0.069,3.12,0.66,9.2,5
0.3,0.08,3.15,0.92,11.7,8
0.36,0.152,3.04,1.06,9.4,5
0.67,0.054,3.17,0.47,10.0,5
0.645,0.053,3.17,0.42,10.0,6
0.39,0.073,3.34,0.75,10.2,6
0.41,0.055,3.34,0.79,13.3,7
0.4,0.052,3.32,0.9,13.4,7
0.69,0.086,3.48,0.74,11.6,6
0.39,0.051,3.44,0.55,12.1,6
0.35,0.07,3.15,0.65,11.0,8
0.52,0.081,3.43,0.65,9.0,6
0.34,0.09,3.32,0.79,11.1,5
0.35,0.07,3.15,0.65,11.0,8
0.69,0.086,3.48,0.74,11.6,6
0.52,0.081,3.43,0.65,9.0,6
0.44,0.074,3.17,0.85,12.0,7
0.44,0.074,3.17,0.85,12.0,7
0.24,0.077,3.21,1.05,10.8,7
0.49,0.072,3.16,0.78,12.5,7
0.24,0.075,3.25,1.02,10.8,7
0.67,0.084,3.17,0.71,9.5,6
0.29,0.084,3.04,0.68,11.4,7
0.59,0.09,3.18,0.63,10.2,6
0.4,0.125,3.03,0.81,9.7,6
0.51,0.107,3.09,0.66,11.8,7
0.51,0.107,3.09,0.66,11.8,7
0.655,0.122,3.31,1.14,9.3,5
0.6,0.1,3.25,0.74,11.9,6
0.61,0.2,3.16,0.63,8.4,3
0.25,0.088,3.42,0.9,10.0,6
0.4,0.085,3.22,0.55,9.4,5
0.43,0.086,3.23,0.64,9.5,5
0.38,0.097,3.39,0.77,11.4,6
0.63,0.077,3.09,0.57,9.4,5
0.22,0.078,3.41,0.87,10.3,6
0.38,0.098,3.16,0.61,10.3,5
0.38,0.098,3.16,0.61,10.3,5
0.27,0.072,3.22,0.66,12.8,6
0.48,0.102,3.28,0.56,10.0,6
0.22,0.078,3.41,0.87,10.3,6
0.63,0.077,3.09,0.57,9.4,5
0.825,0.084,3.37,0.77,10.7,6
0.35,0.066,3.2,0.66,12.0,7
0.5,0.1,3.22,0.62,11.2,5
0.59,0.101,3.26,0.67,9.6,5
0.46,0.064,3.21,0.73,11.0,6
0.715,0.07,3.12,0.59,9.9,5
0.66,0.085,3.06,0.72,11.0,6
0.31,0.075,2.86,0.79,8.4,6
0.47,0.094,3.08,0.59,9.1,5
0.55,0.078,3.45,0.78,9.5,6
0.31,0.067,3.26,0.86,10.7,6
0.35,0.079,3.12,0.75,10.4,6
0.51,0.074,3.33,0.56,9.5,6
0.43,0.092,3.19,0.73,10.0,6
0.46,0.092,3.12,0.74,10.0,6
1.04,0.05,3.74,0.62,11.5,5
0.645,0.095,2.92,0.74,11.1,5
0.53,0.118,3.07,0.56,11.7,6
0.645,0.095,2.92,0.74,11.1,5
0.47,0.085,3.3,0.68,12.7,6
0.6,0.075,3.14,0.57,11.4,5
0.54,0.094,3.08,0.61,9.2,5
0.29,0.092,3.31,0.61,10.1,6
0.47,0.085,3.3,0.68,12.7,6
0.6,0.075,3.14,0.57,11.4,5
0.7,0.226,3.32,0.6,9.0,6
0.5,0.25,3.31,0.79,10.7,6
0.36,0.095,3.57,0.57,11.7,6
0.35,0.07,3.32,0.91,11.0,6
0.24,0.075,3.14,0.61,10.4,5
0.5,0.103,3.34,0.52,10.0,4
0.44,0.083,3.3,0.6,9.5,5
0.47,0.085,3.29,0.6,9.8,5
0.31,0.063,3.14,0.51,9.8,6
0.5,0.089,3.19,0.44,9.6,5
0.5,0.089,3.19,0.44,9.6,5
0.28,0.074,2.98,0.66,9.9,7
0.73,0.108,3.26,0.59,9.3,5
0.42,0.06,3.72,0.74,14.0,8
0.45,0.084,3.35,0.57,9.7,5
0.39,0.07,3.12,0.5,11.5,6
0.45,0.084,3.35,0.57,9.7,5
0.49,0.094,3.29,0.58,9.0,5
0.595,0.086,3.27,0.57,9.3,5
0.4,0.059,3.04,0.6,9.3,6
0.585,0.078,3.2,0.48,9.8,6
0.835,0.081,3.3,0.52,9.3,5
0.58,0.096,3.17,0.62,9.1,6
0.48,0.092,3.31,0.53,10.5,6
0.65,0.11,3.32,0.64,10.4,6
0.36,0.075,3.56,0.52,12.7,6
0.24,0.083,3.39,0.54,9.2,5
0.38,0.081,2.98,0.54,9.4,5
0.64,0.077,3.32,0.6,10.0,6
0.6,0.079,3.5,0.57,9.7,5
0.31,0.079,3.03,0.93,9.8,6
0.37,0.088,3.09,0.8,9.3,5
0.54,0.076,3.27,0.61,9.4,5
0.56,0.078,3.28,0.62,9.4,5
0.58,0.08,3.13,0.55,9.5,5
0.69,0.124,3.46,0.72,10.2,5
0.6,0.098,3.36,0.49,9.1,5
0.6,0.098,3.36,0.49,9.1,5
0.54,0.097,3.27,0.6,9.3,6
0.685,0.111,3.21,0.61,9.3,5
0.54,0.097,3.27,0.6,9.3,6
0.28,0.105,3.25,0.63,9.5,5
0.41,0.087,3.32,0.57,10.5,6
0.935,0.105,3.43,0.64,11.3,4
0.35,0.073,3.27,0.58,9.5,5
0.84,0.065,3.27,0.55,9.7,5
0.88,0.086,3.24,0.53,9.4,5
0.885,0.084,3.24,0.53,9.4,5
0.29,0.067,3.18,1.36,10.3,6
0.54,0.071,3.39,0.62,9.4,5
0.54,0.071,3.39,0.62,9.4,5
0.54,0.071,3.39,0.62,9.4,5
0.845,0.07,3.32,0.58,11.0,4
0.48,0.066,3.33,0.67,11.2,7
0.42,0.068,3.16,0.57,11.3,6
0.43,0.106,2.89,0.5,9.6,5
0.36,0.096,2.98,0.84,14.9,5
0.33,0.079,3.12,0.54,12.0,6
0.47,0.074,3.08,0.46,9.5,5
0.55,0.087,3.14,0.61,9.4,5
0.43,0.106,2.89,0.5,9.6,5
0.5,0.073,2.92,0.68,10.5,7
0.52,0.074,3.32,0.81,9.6,6
0.52,0.074,3.32,0.81,9.6,6
0.42,0.08,3.31,0.64,9.0,5
0.57,0.076,3.36,0.7,9.6,6
0.59,0.084,3.14,0.56,9.7,5
0.49,0.222,3.18,0.6,9.5,6
0.34,0.082,2.94,0.66,9.2,6
0.34,0.082,2.94,0.66,9.2,6
0.73,0.074,3.2,0.52,9.5,5
0.73,0.074,3.2,0.52,9.5,5
0.4,0.084,3.08,0.67,9.3,6
0.8,0.084,3.4,0.48,9.9,5
0.78,0.081,3.48,0.53,10.0,5
0.26,0.06,3.13,0.54,9.6,5
0.45,0.094,3.21,0.49,10.2,6
0.46,0.078,3.33,0.54,9.8,5
0.78,0.059,3.37,0.56,11.3,5
0.98,0.078,3.25,0.48,9.4,5
0.78,0.059,3.37,0.56,11.3,5
0.66,0.039,3.4,0.47,9.4,5
0.38,0.157,3.3,1.05,9.4,5
0.92,0.087,3.48,0.54,9.8,5
0.49,0.422,3.03,1.17,9.0,5
0.48,0.084,3.32,0.62,9.4,5
0.47,0.084,3.31,0.61,9.4,5
0.47,0.034,3.9,0.62,12.8,6
0.65,0.066,3.47,0.67,9.5,6
0.615,0.087,3.31,0.53,9.7,5
0.38,0.071,3.11,0.62,10.8,6
1.02,0.076,3.08,0.57,10.1,6
0.65,0.066,3.47,0.67,9.5,6
0.64,0.067,3.47,0.67,9.4,6
0.38,0.073,3.32,0.7,9.6,4
0.765,0.078,3.29,0.54,9.7,4
1.035,0.073,3.37,0.49,9.9,5
0.78,0.093,3.4,0.47,10.0,5
0.49,0.077,3.37,0.51,10.5,5
0.545,0.068,3.34,0.61,11.6,6
1.025,0.08,3.06,0.57,10.1,5
0.565,0.093,3.38,0.61,9.5,5
0.74,0.078,3.28,0.51,9.8,5
0.46,0.079,3.21,0.57,10.0,5
0.56,0.082,3.22,0.44,9.6,5
0.66,0.086,3.46,0.54,9.5,5
0.56,0.082,3.22,0.44,9.6,5
0.48,0.094,3.1,0.53,9.2,5
0.31,0.053,2.94,1.62,9.5,5
0.66,0.077,3.29,0.55,10.4,5
0.72,0.084,3.43,0.72,11.1,6
0.57,0.067,3.46,0.68,9.5,5
0.57,0.067,3.46,0.68,9.5,5
0.865,0.071,3.61,0.49,12.7,6
0.55,0.387,3.17,0.67,9.6,5
0.875,0.088,3.44,0.52,11.5,5
0.835,0.092,3.39,0.47,9.6,5
0.45,0.082,3.55,0.6,9.5,5
0.56,0.075,3.48,0.62,9.3,5
0.965,0.112,3.26,0.5,9.5,5
0.59,0.093,3.5,0.65,9.3,6
0.69,0.088,3.35,0.6,9.3,5
0.76,0.075,3.45,0.68,11.5,6
0.53,0.078,3.21,0.57,9.5,5
0.39,0.095,3.13,0.51,9.5,5
0.51,0.07,3.52,0.73,9.5,6
0.34,0.08,3.3,0.47,9.0,6
0.5,0.071,3.52,0.72,9.6,6
0.51,0.07,3.52,0.73,9.5,6
0.65,0.089,3.29,0.55,9.5,5
0.54,0.097,3.39,0.61,9.4,5
0.65,0.089,3.29,0.55,9.5,5
0.48,0.415,3.09,1.06,9.1,6
0.91,0.058,3.51,0.43,10.7,6
0.98,0.057,3.6,0.46,11.2,6
0.87,0.084,3.25,0.5,9.8,5
0.87,0.084,3.25,0.5,9.8,5
0.42,0.092,3.19,0.52,9.2,5
0.58,0.075,3.23,0.57,9.7,5
0.655,0.096,3.25,0.42,9.6,5
0.7,0.069,3.31,0.53,10.0,6
0.68,0.093,3.31,0.55,9.5,6
0.67,0.091,3.31,0.54,9.5,6
0.59,0.089,3.14,0.54,9.4,5
0.59,0.082,3.55,0.53,9.7,6
0.72,0.076,3.39,0.54,9.6,5
0.59,0.082,3.55,0.53,9.7,6
0.685,0.082,3.28,0.55,9.4,5
0.57,0.082,3.27,0.55,9.4,5
0.4,0.157,3.3,0.92,9.5,6
1.0,0.102,3.43,0.46,10.0,5
0.635,0.241,3.4,0.59,10.3,6
0.43,0.079,3.36,0.61,10.5,5
0.52,0.076,3.5,0.6,9.8,5
0.57,0.19,3.31,0.6,9.4,6
0.46,0.114,3.66,0.65,9.8,5
0.59,0.077,3.55,0.59,9.8,5
0.35,0.083,3.21,0.5,9.5,5
0.56,0.079,3.18,0.56,10.1,6
0.56,0.079,3.18,0.56,10.1,6
0.63,0.099,3.09,0.52,9.3,5
0.37,0.082,3.33,0.68,9.7,6
0.64,0.084,3.23,0.54,9.6,5
0.61,0.081,3.48,0.6,9.7,6
0.6,0.055,3.38,0.56,10.8,5
0.27,0.065,3.17,0.53,12.5,6
0.89,0.132,2.99,1.18,10.2,5
0.46,0.126,3.1,0.74,9.6,5
0.37,0.038,3.24,0.81,10.8,7
0.5,0.082,3.29,0.52,10.7,6
0.55,0.068,3.23,0.44,10.0,5
0.585,0.044,3.56,0.94,12.9,7
0.56,0.114,3.24,0.66,9.6,6
0.52,0.084,3.26,0.57,9.9,6
0.25,0.041,3.27,0.71,12.5,7
0.53,0.165,3.26,0.86,9.2,5
0.48,0.07,3.22,0.55,10.3,6
0.49,0.068,3.3,0.47,10.5,5
0.5,0.072,3.09,0.68,10.9,6
0.39,0.102,3.44,0.58,11.4,4
0.41,0.103,3.21,0.76,11.3,6
0.66,0.097,3.28,0.54,9.6,5
0.685,0.099,3.34,0.6,9.7,5
0.42,0.048,3.71,0.74,14.0,7
0.54,0.076,3.61,0.64,9.8,5
0.48,0.068,3.24,0.53,10.3,5
0.27,0.05,3.4,0.64,11.0,7
0.46,0.076,3.36,0.49,10.7,5
0.685,0.058,3.38,0.55,10.9,4
0.61,0.071,3.56,0.77,11.1,6
0.47,0.147,3.38,0.86,9.9,4
0.28,0.012,3.26,0.39,11.7,7
0.28,0.012,3.26,0.39,11.7,7
0.31,0.075,3.24,0.83,11.2,7
0.66,0.115,3.45,0.63,10.3,5
0.5,0.119,3.23,0.72,10.9,6
0.685,0.088,3.28,0.62,9.4,5
0.64,0.081,3.59,0.66,9.8,5
0.68,0.078,3.5,0.7,9.9,6
0.64,0.081,3.59,0.66,9.8,5
0.43,0.085,3.28,0.55,9.5,5
0.43,0.085,3.28,0.55,9.5,5
0.36,0.08,3.47,0.73,10.9,6
0.36,0.08,3.47,0.73,10.9,6
0.36,0.08,3.47,0.73,10.9,6
0.26,0.073,3.4,0.78,11.3,7
0.28,0.054,3.15,0.67,10.6,7
0.62,0.077,3.51,0.54,9.5,5
0.42,0.067,3.24,0.44,10.4,5
0.62,0.078,3.51,0.53,9.7,5
0.635,0.077,3.51,0.54,9.7,5
0.56,0.086,3.53,0.57,10.6,5
0.35,0.067,3.43,0.54,10.0,4
0.31,0.109,3.31,0.79,11.8,7
0.715,0.064,3.41,0.57,11.8,6
0.715,0.068,3.48,0.65,11.4,6
0.31,0.194,3.22,0.78,12.0,6
0.61,0.094,3.22,0.5,10.0,6
0.75,0.086,3.34,0.64,10.5,5
0.8,0.083,3.33,0.65,10.4,6
0.57,0.072,3.43,0.56,11.2,6
0.9,0.112,3.22,0.68,9.3,5
0.66,0.078,3.53,0.57,9.7,5
0.45,0.082,3.22,0.65,9.3,6
0.66,0.078,3.53,0.57,9.7,5
0.63,0.08,3.53,0.58,9.8,6
0.59,0.08,3.42,0.58,10.7,6
